Date,Products,Category,Quantity,Price
2026-01-05,Laptop,Electronics,2,55000
2026-01-06,Mouse,Electronics,10,450
2026-01-07,Notebook,Stationery,50,40
2026-01-08,Pen,Stationery,100,10
2026-01-09,Monitor,Electronics,3,12000
2026-01-10,Keyboard,Electronics,5,1500
2026-01-11,Desk,Furniture,2,8000
2026-01-12,Chair,Furniture,4,3500
2026-01-13,USB Cable,Electronics,20,150
2026-01-14,Highlighter,Stationery,30,25
2026-01-15,Table,Furniture,1,12000
2026-01-16,Headphones,Electronics,6,2500
2026-01-17,Marker,Stationery,40,30
2026-01-18,Sofa,Furniture,1,25000
2026-01-19,Webcam,Electronics,4,3000
